instance,run,seed,island,model,percentile,threshold,objective,val_samples
d493_or2,4,31,5,WEIBULLAFT,50,-13.139717,0.1345,47
d493_or2,4,31,2,GBSA,50,0.148442,0.2615,50
d493_or2,4,31,8,MTLR,70,0.975412,-0.0036,50
d493_or2,4,31,3,DEEPSURV,50,50.0,0.3781,50
d493_or2,5,41,7,ELASTICNET,55,0.021996,0.3198,40
d493_or2,5,41,3,DEEPSURV,50,50.0,0.2216,40
d493_or2,5,41,1,RSF,65,85.363446,0.2128,47
d493_or2,5,41,4,SSVM,50,-2.358778,0.1656,48
d493_or2,5,41,0,COX,60,1.007119,0.2789,50
d493_or2,5,41,6,KNN,50,-18.0,0.3764,50
d493_or2,5,41,5,WEIBULLAFT,55,-13.336609,0.2572,47
d493_or2,5,41,2,GBSA,75,1.142712,0.1106,50
d493_or2,5,41,8,MTLR,90,0.966329,0.0477,50
d493_or2,6,51,6,KNN,50,-20.133333,0.2841,45
d493_or2,6,51,1,RSF,65,99.227484,0.2228,50
d493_or2,6,51,7,ELASTICNET,65,0.10308,0.0884,49
