instance,run,target_kappa,repeat,achieved_kappa,C
bonus1000,run-1782647995_i9,0.95,1,0.946273905403065,0.5320246351966595
bonus1000,run-1782647995_i9,0.95,2,0.9487620201210488,0.5116931502766342
bonus1000,run-1782647995_i9,0.95,3,0.9492614223969441,0.5077395908111989
bonus1000,run-1782647995_i9,0.95,4,0.948213347501551,0.5090738668891791
bubbles1,run-1782686437_i9,0.0,0,0.012702724139189462,0.7358275965279857
bubbles1,run-1782686437_i9,0.0,1,0.04097756384763103,0.7170787490428404
bubbles1,run-1782686437_i9,0.0,2,0.08444856916715762,0.7186608111910601
bubbles1,run-1782686437_i9,0.0,3,0.05558516654770567,0.7198214160585403
bubbles1,run-1782686437_i9,0.0,4,-0.040888631559876626,0.727269092762691
bubbles1,run-1782686437_i9,0.1,0,0.041264974155075726,0.7192227870183776
bubbles1,run-1782686437_i9,0.1,1,0.15431610407340784,0.7033143246574931
bubbles1,run-1782686437_i9,0.1,2,0.1366124929362849,0.7082286274941682
bubbles1,run-1782686437_i9,0.1,3,0.10956745785166126,0.7043863066518825
bubbles1,run-1782686437_i9,0.1,4,0.04443983719605637,0.7189465211047945
bubbles1,run-1782686437_i9,0.2,0,0.20199375711458006,0.7081804143352787
bubbles1,run-1782686437_i9,0.2,1,0.12421596024257217,0.7181158768695861
bubbles1,run-1782686437_i9,0.2,2,0.14536325990860444,0.6918403997030319
bubbles1,run-1782686437_i9,0.2,3,0.21092716574629808,0.6904030652567553
bubbles1,run-1782686437_i9,0.2,4,0.21099384860223755,0.6960233553755553
bubbles1,run-1782686437_i9,0.3,0,0.3015507375161644,0.660383514883791
bubbles1,run-1782686437_i9,0.3,1,0.23729536002721036,0.672415003158243
bubbles1,run-1782686437_i9,0.3,2,0.35175291579426776,0.6549423772145325
bubbles1,run-1782686437_i9,0.3,3,0.25640035817114754,0.6816128032627927
bubbles1,run-1782686437_i9,0.3,4,0.29871563638689885,0.6827044846925443
bubbles1,run-1782686437_i9,0.4,0,0.4031933403923776,0.6574452766417007
bubbles1,run-1782686437_i9,0.4,1,0.35085848863530733,0.6585313153240071
bubbles1,run-1782686437_i9,0.4,2,0.40263101872300777,0.665259949297815
bubbles1,run-1782686437_i9,0.4,3,0.43355111955572917,0.6624676549054219
bubbles1,run-1782686437_i9,0.4,4,0.38851709165120335,0.6561303641939428
bubbles1,run-1782686437_i9,0.5,0,0.4976630536489823,0.6345116955858756
bubbles1,run-1782686437_i9,0.5,1,0.48319575324835234,0.6417760091416658
bubbles1,run-1782686437_i9,0.5,2,0.45990903983430337,0.6447893791175884
bubbles1,run-1782686437_i9,0.5,3,0.4589869972040903,0.642160799983936
bubbles1,run-1782686437_i9,0.5,4,0.4450476627325278,0.6610817401385155
bubbles1,run-1782686437_i9,0.6,0,0.6400199572428515,0.6035990952218908
bubbles1,run-1782686437_i9,0.6,1,0.5563668052630778,0.6113085378708026
bubbles1,run-1782686437_i9,0.6,2,0.63378730243594,0.6021713920102372
bubbles1,run-1782686437_i9,0.6,3,0.6560681452134379,0.59309530244337
bubbles1,run-1782686437_i9,0.6,4,0.6173821419637345,0.6039936614915553
bubbles1,run-1782686437_i9,0.7,0,0.7198363255851502,0.5782126243861624
bubbles1,run-1782686437_i9,0.7,1,0.7133150825596979,0.5789048554532853
bubbles1,run-1782686437_i9,0.7,2,0.676513671624225,0.592770505584244
bubbles1,run-1782686437_i9,0.7,3,0.6961003045274502,0.5942874293432044
bubbles1,run-1782686437_i9,0.7,4,0.6898556088515565,0.595941403702403
bubbles1,run-1782686437_i9,0.8,0,0.8283299865937194,0.561703464369054
bubbles1,run-1782686437_i9,0.8,1,0.7768222247446168,0.5690673022267873
bubbles1,run-1782686437_i9,0.8,2,0.8078491882895552,0.5679054392467194
bubbles1,run-1782686437_i9,0.8,3,0.8196247000776099,0.5550013521228329
bubbles1,run-1782686437_i9,0.8,4,0.7939302055041528,0.5694982429518409
bubbles1,run-1782686437_i9,0.9,0,0.9105354203968996,0.5235378245389447
bubbles1,run-1782686437_i9,0.9,1,0.891776858994222,0.5600638499526114
bubbles1,run-1782686437_i9,0.9,2,0.9021668201357542,0.5330767080063108
bubbles1,run-1782686437_i9,0.9,3,0.9146990089240328,0.5318769015911018
bubbles1,run-1782686437_i9,0.9,4,0.8973743579623223,0.5332390735226523
bubbles1,run-1782686437_i9,0.95,0,0.9471572653297249,0.5292351060332892
bubbles1,run-1782686437_i9,0.95,1,0.9502277523596914,0.5192947670479455
bubbles1,run-1782686437_i9,0.95,2,0.953527866613889,0.49856947753531444
bubbles1,run-1782686437_i9,0.95,3,0.9510568054528191,0.5117266417298422
bubbles1,run-1782686437_i9,0.95,4,0.9495386089289763,0.5144918124506699
bubbles1,run-1782686494_i9,0.0,0,-0.01585247254109322,0.7404446921474876
bubbles1,run-1782686494_i9,0.0,1,0.01350953224380474,0.7305887288764001
